life.form,alien.native,species.name,period1,period2
T,N,Legousia speculum-veneris (L.) Chaix,0,0
I,N,Lemna minor L.,1,0
T,N,Lens ervoides (Brign.) Grande,1,0
H,N,Leontodon crispus Vill.,1,0
H,N,Leontodon hirtus L.,1,0
T,N,Leontodon saxatilis Lam. subsp. saxatilis,0,0
H,N,Leontodon tuberosus L.,1,1
H,N,Leontodon villarsii (Willd.)Loisel,0,1
T,N,Lepidium campestre (L.) R. Br.,1,1
T,A,Lepidium didymum L.,0,0
H,N,Lepidium graminifolium L. subsp. graminifolium,1,1
H,N,Lepidium latifolium L.,0,0
H,N,Leucanthemum vulgare (Vaill.) Lam. subsp. vulgare,0,0
H,N,Leuzea conifera (L.)DC.,1,0
P,A,Ligustrum lucidum W.T.Aiton,0,0
G,N,Lilium bulbiferum L. subsp. croceum (Chaix) Jan,0,0
G,A,Lilium candidum L.,0,0
Ch,N,Limbarda crithmoides (L.) Dumort. subsp. longifolia (Arcang.) Greuter,1,1
G,N,Limodorum abortivum (L.) Sw.,1,1
Ch,N,Limonium contortirameum (Mabille) Erben,0,0
H,N,Limonium doriae (Somm.) Pign.,0,0
H,N,Limonium gorgonae Pignatti,0,0
H,N,Limonium ilvae Pignatti,0,0
H,N,Limonium multiforme Pignatti,1,1
H,N,Limonium planesiae Pignatti,0,0
H,N,Limonium sommierianum (Fiori) Arrigoni,0,0
Ch,N,Limonium vulgare Mill.,1,1
T,N,Linaria arvensis (L.) Desf.,1,0
Ch,N,Linaria capraria Moris & De Not.,0,0
T,N,Linaria chalepensis (L.) Mill.,0,0
T,N,Linaria pelisseriana (L.) Mill.,1,1
H,N,Linaria purpurea L. subsp. cossonii (Bonnet & Baratte) Maire,1,1
H,N,Linaria repens (L.) Mill.,0,0
T,N,Linaria simplex (Willd.) DC.,0,0
T,N,Linaria triphylla (L.) Mill.,0,0
H,N,Linaria vulgaris Mill. subsp. vulgaris,0,1
H,N,Linum bienne Mill.,1,1
T,N,Linum catharticum L. s.l.,0,0
T,N,Linum corymbulosum Rchb.,0,0
T,N,Linum maritimum L.,1,0
T,N,Linum strictum L.,1,1
Ch,N,Linum tenuifolium L.,1,1
T,N,Linum trigynum L.,1,1
G,N,Listera ovata (L.) R. Br.,0,0
H,N,Lobularia maritima (L.) Desv. subsp. maritima,1,1
T,N,Lolium multiflorum Lam. s.l.,0,1
H,N,Lolium perenne L.,0,1
T,N,Lolium rigidum Gaudin subsp. rigidum,1,1
T,N,Lolium temulentum L. subsp. temulentum,1,1
G,N,Loncomelos narbonensis (L.) Raf.,1,1
G,N,Loncomelos pyrenaicus (L.) Hrouda ex J. Holub s.l.,1,1
P,N,Lonicera caprifolium L.,0,1
P,N,Lonicera etrusca Santi,1,1
P,N,Lonicera implexa Aiton subsp. implexa,1,1
P,A,Lonicera japonica Thunb.,0,0
P,N,Lonicera peryclimenum L.,1,0
T,N,Lotus angustissimus L.,1,0
T,N,Lotus conimbricensis Brot.,0,0
H,N,Lotus corniculatus L. s.l.,0,0
H,N,Lotus corniculatus L. subsp. preslii (Ten.) P. Fourn.,1,0
Ch,N,Lotus cytisoides L. subsp. cytisoides,0,0
T,N,Lotus edulis L.,1,1
T,N,Lotus hispidus DC.,0,0
T,N,Lotus maritimus L.,1,0
T,N,Lotus ornithopodioides L.,1,1
T,N,Lotus parviflorus Desf.,0,0
H,N,Lotus pedunculatus Cav.,0,0
T,N,Lotus subbiflorus Lag.,1,0
H,N,Lotus tenuis Waldst. & Kit. ex Willd.,1,0
H,N,Lunaria annua L.,0,1
T,A,Lupinus albus L. subsp. albus,1,0
T,N,Lupinus angustifolius L.,0,0
T,N,Lupinus gussoneanus Agardh,1,1
T,A,Lupinus polyphyllus Lindl.,0,0
H,N,Luzula campestris (L.) DC.,1,0
H,N,Luzula forsteri (Sm.) DC.,1,1
H,N,Lychnis flos-cuculi L.,1,1
P,N,Lycium europaeum L.,1,1
H,N,Lycopus europaeus L. subsp. europaeus,1,0
T,N,Lythrum hyssopifolia L.,1,1
H,N,Lythrum junceum Banks & Sol.,1,1
H,N,Lythrum salicaria L.,1,1
T,N,Malcolmia maritima (L.) R. Br.,0,0
T,N,Malcolmia ramosissima (Desf.) Gennari,0,0
P,N,Malus sylvestris L.,1,1
P,N,"Malva africana (Cav.) Soldano, Banfi & Galasso",0,0
H,N,Malva moschata L.,1,0
T,N,"Malva multiflora (Cav.) Soldano, Banfi & Galasso",1,1
T,N,Malva nicaeensis All.,1,1
P,N,Malva olbia (L.) Alef.,0,0
T,N,Malva parviflora L.,0,0
T,N,Malva punctata (All.) Alef.,1,0
H,N,Malva sylvestris L. subsp. sylvestris,1,1
H,N,"Malva veneta (Mill.) Soldano, Banfi & Galasso",0,1
H,N,Mantisalca salmantica (L.) Briq. & cavill.,1,0
H,N,Marrubium incanum L.,1,1
H,N,Marrubium vulgare L.,1,0
Ch,N,Mathhiola fruticolosa (L.)Maire,0,0
T,N,Matricaria chamomilla L.,0,0
Ch,N,Matthiola incana (L.) R. Br. subsp. incana,1,1
H,N,Matthiola sinuata (L.) R. Br.,1,1
T,N,Matthiola tricuspidata (L.) R. Br.,0,0
T,N,Medicago aculeata Gaertn.,1,0
T,N,Medicago arabica (L.) Huds.,1,0
P,N,Medicago arborea L.,0,0
T,N,Medicago ciliaris (L.) All.,0,0
T,N,Medicago doliata Carmign.,0,0
T,N,Medicago hispida Gaertn.,1,1
T,N,Medicago littoralis Loisel.,1,1
T,N,Medicago lupulina L.,1,1
Ch,N,Medicago marina L.,1,0
T,N,Medicago minima (L.) Bartal.,1,1
T,N,Medicago murex Willd.,1,0
T,N,Medicago orbicularis (L.) Bartal.,1,1
T,N,Medicago polymorpha L.,0,0
T,N,Medicago praecox DC.,0,0
T,N,Medicago rigidula (L.) All.,1,0
T,N,Medicago rugosa Desr.,0,0
H,N,Medicago sativa L. s.l.,1,1
T,N,Medicago scutellata (L.) Mill.,1,0
T,N,Medicago secundiflora Dur.,0,0
T,A,Medicago soleirolii Duby,0,0
T,N,Medicago truncatula Gaertn.,1,1
T,N,Medicago turbinata (L.) All.,0,0
P,A,Melia azedarach L.,0,0
H,N,Melica ciliata L. subsp. ciliata,1,1
H,N,Melica minuta L.,1,1
H,N,Melica nutans L.,0,0
H,N,Melica uniflora Retz.,1,1
T,N,Melilotus albus Medik.,0,0
T,N,Melilotus altissima Thuill.,0,1
T,N,Melilotus elegans Salzm. ex Ser.,1,1
T,N,Melilotus indicus (L.) All.,1,1
T,N,Melilotus infestus Guss.,0,0
T,N,Melilotus italicus (L.) Lam.,1,1
H,N,Melilotus neapolitana Ten.,1,1
H,N,Melilotus officinalis (L.) Pall.,1,0
H,N,Melilotus segetalis (Brot.)Ser.,1,1
T,N,Melilotus sulcatus Desf.,1,1
H,N,Melissa officinalis L. s.l.,1,0
H,N,Melittis melissophyllum L. subsp. melissophyllum,0,0
G,N,Melomphis arabica (L.) Raf.,0,1
H,N,Mentha aquatica L. subsp. aquatica,1,1
H,N,Mentha arvensis L.,0,0
H,N,Mentha longifolia (L.) Huds.,0,0
H,N,Mentha pulegium L. subsp. pulegium,1,0
Ch,N,Mentha requienii Benth. subsp. bistaminata Mannocci & Falconcini,0,0
H,N,Mentha spicata L.,0,0
H,N,Mentha suaveolens Ehrh. s.l.,1,1
H,N,Mentha suaveolens Ehrh. subsp. insularis (Req.) Greuter,0,0
T,N,Mercurialis annua L.,1,1
G,N,Mercurialis perennis L.,0,0
T,A,Mesembryanthemum cordifolium L. f.,0,0
T,N,Mesembryanthemum cristallinum L.,0,0
T,N,Mesembryanthemum nodiflorum L.,1,1
P,N,Mespilus germanica L.,0,0
Ch,N,Micromeria graeca (L.) Benth. ex Rchb. s.l.,1,1
T,N,Micropyrum tenellum (L.) Link,0,0
T,N,Minuartia hybrida (Vill.) Shischk. subsp. hybrida,1,0
G,A,Mirabilis jalapa L.,0,0
T,N,Misopates calycinum (Vent.)Raf.,0,1
T,N,Misopates orontium (L.) Raf. subsp. orontium,1,1
T,N,Moehringia pentandra Gay,1,1
T,N,Moehringia trinervia (L.) Clairv.,0,0
T,N,"Moenchia erecta (L.) G. Gaertn., B. Mey. & Scherb. subsp. erecta",0,0
T,N,Moenchia mantica (L.) Bartl. subsp. mantica,1,0
T,N,Molineriella minuta (L.) Rouy,1,0
G,N,Monotropa hypopitys L.,0,1
T,N,Montia fontana aggr.,0,0
G,A,Moraea sisyrinchium (L.) Ker Gawl.,0,0
P,A,Morus alba L.,0,0
P,A,Morus nigra L.,0,0
G,N,Muscari atlanticum Boiss. & reut.,1,1
G,N,Muscari botryoides (L.) Mill. subsp. botryoides,0,0
G,N,Muscari comosum (L.) Mill.,1,1
G,N,Muscari neglectum Guss. ex Ten.,1,0
P,A,Myoporum insulare R. Br.,0,0
T,N,Myosotis arvensis (L.) Hill subsp. arvensis,1,0
T,N,Myosotis discolor Pers. subsp. discolor,0,0
T,N,Myosotis ramosissima Rochel ex Schult. subsp. ramosissima,1,1
H,N,Myosotis scorpioides L. subsp. scorpioides,0,0
I,N,Myriophyllum alterniflorum DC.,0,0
P,N,Myrtus communis L. subsp. communis,1,1
P,N,Myrtus communis L. subsp. tarentina (L.) Nyman,0,0
G,N,Narcissus obsoletus (Haw.) Steud,0,0
G,A,Narcissus papyraceus Ker Gawl. subsp. panizzianus (Parl.) Arcang.,0,0
G,N,Narcissus poëticus L. s.l.,0,0
G,A,Narcissus pseudonarcissus L.,0,0
G,N,Narcissus serotinus L.,1,1
G,N,Narcissus tazetta L. s.l.,1,1
H,N,Nasturtium officinale R. Br. subsp. officinale,1,0
T,N,Neatostema apulum (L.) I.M. Johnst.,1,1
G,N,"Neotinea lactea (Poir.) R.M. Bateman, Pridgeon & M.W. Chase",0,1
G,N,Neotinea maculata (Desf.) Stearn,1,1
G,N,"Neotinea tridentata (Scop.) R.M. Bateman, Pridgeon & M.W. Chase",1,1
G,N,Neottia nidus-avis (L.) Rich.,0,1
P,A,Nerium oleander L.  cv.,1,1
P,N,Nerium oleander L. subsp. oleander,0,0
T,N,Neslia paniculata (L.) Desv. s.l.,1,0
P,A,Nicotiana alata Link & Otto,0,0
P,A,Nicotiana glauca Graham,0,1
T,N,Nigella damascena L.,1,1
H,N,Notholaena marantae (L.) Desv. subsp. marantae,1,0
G,A,Nothoscordum gracile (Aiton) Stearn,0,0
T,N,Odontites luteus (L.) Clairv.,0,1
T,N,Odontites vernus (Bellardi) Dumort.,0,0
T,N,Odontites vulgaris Moench subsp. vulgaris,0,0
H,N,Oenanthe globulosa L.,1,1
H,N,Oenanthe lachenalii Gmel.,0,1
H,N,Oenanthe peucedanifolia Pollich,0,0
H,N,Oenanthe pimpinelloides L.,1,1
Ch,N,Olea europaea L. subsp. oleaster (Hoffmanns. & Link) Negodi,1,1
H,N,Onobrychis caut-gallii (L.)Lam.,1,1
H,N,Onobrychis viciifolia Scop.,0,0
Ch,N,Ononis minutissima L.,1,1
T,N,Ononis mitissima L.,0,0
H,N,Ononis natrix L. subsp. natrix,0,0
T,N,Ononis ornithopodioides L.,1,1
T,N,Ononis pusilla L.,1,1
T,N,Ononis reclinata L.,1,1
Ch,N,Ononis spinosa L. s.l.,1,0
T,N,Ononis variegata L.,0,0
T,N,Ononis viscosa L. subsp. breviflora (DC.) Nyman,1,1
H,N,Onopordum illyricum L. s.l.,1,1
Ch,N,Onosma echioides L.,1,1
G,N,Ophioglossum lusitanicum L.,0,0
G,N,Ophioglossum vulgatum L.,0,0
G,N,Ophrys apifera Huds.,1,1
G,N,Ophrys argolica Fleischm. subsp. crabronifera (Sebast. & Mauri) Faurh.,1,1
G,N,Ophrys bertolonii Moretti,1,1
G,N,Ophrys bombyliflora Link,1,1
G,N,Ophrys exaltata Ten. subsp. montis-leonis (O. & E. Danesch) Soca,0,0
G,N,Ophrys exaltata Ten. subsp. tyrrhena (Golz & Rein.) Del Prete,0,1
G,N,Ophrys fusca Link subsp. fusca,1,1
G,N,Ophrys fusca Link subsp. iricolor (desf.) O.Schwartz,1,1
G,N,Ophrys fusca Link subsp. lucifera (Devillers-Tersch. & Devillers) Kreutz,0,0
G,N,Ophrys garganica (Danesch)Danesch,0,1
G,N,Ophrys holoserica (Brum. F.) Greuter subsp. holoserica,1,1
G,N,Ophrys holoserica (Brum. F.) Greuter subsp. parvimaculata (Danesch)Danesch,0,1
G,N,Ophrys incubacea Bianca,1,1
G,N,Ophrys lutea Cav. subsp. minor (Tod.) O. & E. Danesch,1,1
G,N,Ophrys saratoi E.G.Camus,0,1
G,N,Ophrys speculum Link,0,0
G,N,Ophrys sphegodes Mill. s.l.,1,1
G,N,Ophrys tenthredinifera Willd.,1,1
G,N,Ophrys vernixia Brot. Subsp. ciliata (Biv.) Del Prete,1,1
H,N,Opopanax chironium (L.) W.D.J. Koch,1,0
P,A,Opuntia dillenii (Ker-Gawl.) Haw.,0,0
P,A,Opuntia elatior Mill.,0,0
P,A,Opuntia ficus-indica (L.) Mill.,0,1
P,A,Opuntia leucothrica DC.,0,0
P,A,Opuntia monacantha (Willd.) Haw.,0,0
P,A,Opuntia phaeacantha Engelm.,0,0
P,A,Opuntia stricta (Haw.) Haw.,0,0
G,N,Orchis anthropophora (L.) All.,1,1
G,N,Orchis italica Poir.,1,1
G,N,Orchis laxiflora Poir.,0,1
G,N,Orchis mascula (L.) L. subsp. mascula,0,0
G,N,Orchis pauciflora Ten.,1,1
G,N,Orchis provincialis Balb. ex Lam. & DC.,1,1
G,N,Orchis purpurea Huds.,0,1
G,N,Orchis simia Lam.,0,1
H,N,Origanum vulgare L. subsp. vulgare,0,0
T,N,Orlaya daucoides (L.) Greuter,1,0
T,N,Orlaya grandiflora (L.) Hoffm.,0,0
G,N,Ornithogalum collinum Guss.,0,0
G,N,Ornithogalum comosum L.,1,0
G,N,Ornithogalum excapum Ten.,1,0
G,N,Ornithogalum gussonei Ten.,1,0
G,N,Ornithogalum orthophyllum,1,1
G,N,Ornithogalum umbellatum L.,1,1
T,N,Ornithopus compressus L.,1,1
T,N,Ornithopus perpusillus L.,0,0
T,N,Ornithopus pinnatus (Mill.) Druce,0,0
T,N,Orobanche alba Stephan ex Willd.,0,1
T,N,Orobanche amethystea Thuill. subsp. amethystea,0,0
T,N,Orobanche artemisiae-campestris Gaudin,0,0
T,N,Orobanche caryophyllacea Sm.,0,1
T,N,Orobanche crenata Forssk.,0,0
T,N,Orobanche fuliginosa Jord. (litorea Guss.),0,0
T,N,Orobanche gracilis Sm.,0,1
T,N,Orobanche hederae Duby,0,0
T,N,Orobanche lavandulacea Rchb.,1,1
T,N,Orobanche minor Sm.,1,1
T,N,Orobanche mutelii F.W. Schultz,1,1
T,N,Orobanche pubescens d'Urv.,0,1
T,N,Orobanche purpurea Jacq.,0,0
T,N,Orobanche ramosa L.,0,0
T,N,Orobanche rapum-genistae Thuill. subsp. rapum-genistae,1,1
G,N,Osmunda regalis L.,0,0
H,A,Osteospermum ecklonis (DC.) Norl.,0,0
P,N,Ostrya carpinifolia Scop.,1,1
P,N,Osyris alba L.,1,1
H,A,Oxalis articulata Savigny,0,0
H,A,Oxalis bowiei Herb. ex Lindl.,0,0
Ch,N,Oxalis corniculata L.,1,1
H,A,Oxalis debilis Jacq.,0,0
H,A,Oxalis dillenii Jacq.,0,0
H,A,Oxalis latifolia Kunth,0,0
G,A,Oxalis pes-caprae L.,0,1
G,A,Oxalis purpurata Jacq.,0,1
P,N,Paliurus spina-christi Mill.,1,1
H,N,Pallenis maritima (L.) Greuter,1,0
T,N,Pallenis spinosa (L.) Cass. subsp. spinosa,1,1
G,N,Pancratium illyricum L.,0,0
G,N,Pancratium maritimum L.,1,1
G,N,Panicum repens L.,0,1
T,N,Papaver argemone L. subsp. argemone,0,0
T,N,Papaver dubium L. subsp. dubium,0,0
T,N,Papaver hybridum L.,1,0
T,N,Papaver pinnatifidum Moris,0,1
T,N,Papaver rhoeas L. subsp. rhoeas,1,1
T,N,Papaver setigerum DC.,1,1
T,N,Papaver somniferum L.,0,1
T,A,Parapholis filiformis (Roth) C.E. Hubb.,1,1
T,N,Parapholis incurva (L.) C.E. Hubb.,1,1
P,A,Paraserianthes lophantha (Willd.) I.C. Nielsen,0,0
T,N,Parentucellia latifolia (L.) Caruel,1,1
T,N,Parentucellia viscosa (L.) Caruel,1,1
H,N,Parietaria judaica L.,1,1
T,N,Parietaria lusitanica L. subsp. lusitanica,1,1
H,N,Parietaria officinalis L.,0,0
H,N,Paronychia argentea Lam.,0,0
T,N,Paronychia echinulata Chater,0,0
P,A,Parthenocissus quinquefolia (L.) Planch.,0,0
H,A,Paspalum dilatatum Poir.,0,1
H,A,Paspalum distichum L.,0,0
P,A,Passiflora caerulea L.,0,0
H,A,Pelargonium zonale (L.) L'Hér.,0,0
H,A,Pennisetum villosum R. Br. ex Fresen.,0,0
T,N,Peplis portula L.,0,0
P,N,Periploca graeca L.,0,0
T,N,Persicaria hydropiper (L.) Delarbre,0,0
T,N,Persicaria lapathifolia (L.) Delarbre subsp. lapathifolia,0,0
T,N,Persicaria maculosa (L.) Gray,1,1
H,N,Petrorhagia dubia (Raf.) G. López & Romo,1,1
T,N,Petrorhagia prolifera (L.) P.W. Ball & Heywood,1,1
T,N,Petrorhagia saxifraga,1,1
H,N,Peucedanum cervaria (L.) Lapeyr.,1,0
H,A,Phacelia tanacetifolia Benth.,0,0
Ch,N,Phagnalon rupestre (L.) DC. subsp. rupestre,0,0
Ch,N,Phagnalon saxatile (L.) Cass.,1,1
Ch,N,Phagnalon sordidum (L.) Rchb.,1,1
H,N,Phalaris aquatica L.,1,1
T,N,Phalaris brachystachys Link,1,1
H,N,Phalaris caerulescens Desf.,1,1
T,A,Phalaris canariensis L.,0,0
T,N,Phalaris minor Retz.,1,1
T,N,Phalaris paradoxa L.,1,1
T,N,Phedimus stellatus (L.) Raf.,1,0
P,N,Phillyrea angustifolia L.,1,1
P,N,Phillyrea latifolia L.,1,1
T,N,Phleum arenarium L. subsp. caesium H. Scholz,0,0
H,N,Phleum pratense L.,1,1
T,N,Phleum subulatum (Savi) Asch. & Graebn.,1,1
G,N,Phragmites australis (Cav.) Trin. ex Steud.,1,1
H,N,Phyllitis scolopendrium (L.) Newman subsp. scolopendrium,0,0
G,A,Phytolacca americana L.,0,1
H,N,Picris hieracioides L. s.l.,1,1
H,N,Pimpinella peregrina L.,1,0
H,N,Pimpinella saxifraga L.,1,0
Ch,N,Pimpinella tragium Vill.,1,0
P,A,Pinus canariensis C. Sm.,0,0
P,N,Pinus halepensis Mill.,0,1
P,N,Pinus nigra J.F. Arnold s.l.,0,0
P,N,Pinus pinaster Aiton subsp. pinaster,1,1
P,N,Pinus pinea L.,1,1
P,A,Pinus radiata D. Don,0,0
H,N,Piptatherum miliaceum (L.) Coss. subsp. thomasii (Duby) Freitag,1,1
P,N,Pistacia lentiscus L.,1,1
P,N,Pistacia terebinthus L. subsp. terebinthus,1,0
T,N,Pisum sativum L. subsp. biflorum (Raf.) Soldano,1,1
T,A,Pisum sativum L. subsp. sativum,1,0
P,A,Pittosporum tobira (Thunb.) W.T. Aiton,0,0
Ch,N,Plantago afra L. subsp. afra,1,1
T,N,Plantago arenaria Waldst.& Kit.,1,1
T,N,Plantago bellardii All.,1,1
H,N,Plantago cornutii Gouan,0,0
T,N,Plantago coronopus L. subsp. coronopus,1,1
T,N,Plantago lagopus L.,0,0
H,N,Plantago lanceolata L.,1,1
H,N,Plantago macrorrhiza Poir.,0,0
H,N,Plantago major L. s.l.,1,1
Ch,N,Plantago subulata L. subsp. subulata,0,0
T,N,Plantago weldenii Rchb.,0,0
G,N,Platanthera bifolia (L.) Rich.,1,1
G,N,Platanthera chlorantha (Custer) Rchb.,1,1
Ch,N,Plumbago europaea L.,1,1
T,N,Poa annua L.,1,1
H,N,Poa bulbosa L.,1,1
T,N,Poa infirma Kunth,0,0
H,N,Poa nemoralis L. subsp. nemoralis,0,0
H,N,Poa perligularis (H. Scholz) H. Scholz,0,0
H,N,Poa pratensis L.,1,1
H,N,Poa sylvicola Guss.,1,1
H,N,Poa trivialis L.,1,1
H,N,Podospermum laciniatum (L.) DC.,1,0
T,N,Polycarpon tetraphyllum (L.) L. s.l.,1,0
T,N,Polycnemum arvense L.,0,0
H,N,Polygala flavescens DC.,1,1
T,N,Polygala monspeliaca L.,1,1
H,N,Polygala vulgaris L. subsp. vulgaris,1,0
G,N,Polygonatum odoratum (Mill.) Druce,1,0
G,N,Polygonatum verticillatum (L.) All.,0,0
T,N,Polygonum arenastrum Boreau subsp. arenastrum,0,0
T,N,Polygonum aviculare L. s.l.,1,1
T,N,Polygonum bellardii All.,0,0
Ch,N,Polygonum maritimum L.,1,0
Ch,N,Polygonum romanum Jacq.,0,1
P,N,Polygonum scoparium Req. ex Loisel.,0,0
H,N,Polypodium cambricum L.,1,1
H,N,Polypodium interjectum Shivas,0,1
H,N,Polypodium vulgare L.,0,0
T,N,Polypogon maritimus Willd.,0,0
T,N,Polypogon monspeliensis (L.) Desf.,1,1
T,N,Polypogon subspathaceus Req.,0,0
H,N,Polypogon viridis (Gouan) Breistr.,1,0
G,N,Polystichum lonchitis (L.) Roth,1,0
G,N,Polystichum setiferum (Forssk.) T. Moore ex Woyn.,1,0
P,N,Populus alba L.,0,0
P,N,Populus nigra L.,1,1
P,N,Populus tremula L.,1,1
T,A,Portulaca grandiflora Hook.,0,0
T,N,Portulaca oleracea L. s.l.,1,1
T,A,Portulacaria afra Jacq.,0,0
I,N,Potamogeton crispus L.,0,0
I,N,Potamogeton pectinatus L.,1,0
I,N,Potamogeton pusillus L.,1,0
H,N,Potentilla erecta (L.) Rauschel,1,0
H,N,Potentilla hirta L.,1,1
H,N,Potentilla recta L. subsp. recta,1,1
H,N,Potentilla reptans L.,1,0
Ch,N,Prasium majus L.,1,1
H,N,Primula veris L. s.l.,0,0
G,N,Prospero autumnale (L.) Speta subsp. autumnale,1,1
H,N,Prunella laciniata (L.) L.,0,0
H,N,Prunella vulgaris L. subsp. vulgaris,1,1
P,A,Prunus armeniaca L.,0,0
P,N,Prunus avium L. subsp. avium,0,0
P,A,Prunus cerasifera Ehrh.,0,0
P,A,Prunus cerasus L.,1,0
P,A,Prunus domestica L. subsp. domestica,0,0
P,N,Prunus dulcis (Mill.) D.A. Webb,0,1
P,A,Prunus persica (L.) Batsch,0,0
P,N,Prunus spinosa L. subsp. spinosa,1,1
T,N,Pseudorlaya pumila (L.)Grande,1,0
T,N,Psilurus incurvus (Gouan) Schinz & Thell.,0,0
G,N,Pteridium aquilinum (L.) Kuhn subsp. aquilinum,1,1
H,N,Ptilostemon casabonae (L.) Greuter,0,0
Ch,A,Ptilostemon gnaphaloides (Cirillo) Sojak,1,1
H,N,Puccinellia convoluta (Hornem.) Hayek,1,1
H,N,Pulicaria dysenterica (L.) Bernh.,1,1
H,N,Pulicaria odora (L.) Rchb.,1,1
T,N,Pulicaria sicula (L.) Moris,1,0
T,N,Pulicaria vulgaris Gaertn.,0,1
H,N,Pulsatilla vulgaris Mill.,0,0
P,A,Punica granatum L.,1,1
T,N,Pycnocomon rutifolium (Vahl) Hoffmanns. & Link,0,0
P,N,Pyracantha coccinea M. Roem.,0,0
P,N,Pyrus spinosa Forssk.,1,1
