Island,nearest_bigger_island,distance_to_nearest_bigger_island_km,distance_to_mainland_km
Gorgona,Capraia Isola,39.51,33.44
Capraia,Bastia,27.11,54.07
Palmaiola,Elba,3.03,7.2
Cerboli,Elba,8.43,6.75
Elba,Bastia,50.26,9.5
Scarpa,Pianosa,0.26,49.01
Scola,Pianosa,0.27,50.72
Pianosa,Elba,13.3,48.71
Formica Grande,Giglio,20.64,14.1
Argentarola,Monte Argentario,0.44,11.7
Monte Argentario,Elba,62.67,4.42
Isolotto Porto Ercole,Monte Argentario,0.32,6.34
Formica di Burano,no name; at around 340 degrees,1.48,4.18
Giglio,Monte Argentario,14.54,27.32
Montecristo,Pianosa,29.68,61.07
Giannutri,Monte Argentario,11.56,21.38